State,Year,Democrat Votes,Democrat EC,Republican Votes,Republican EC,Third Party Votes,Third Party EC,Vote Margin (ABS),Vote Margin,Total Votes Minus Third Party,Total Votes,Total EC,Registered Voters
Delaware,1992,126054,3,102313,,61253,,23741,23741,228367,289620,3,499266
District of Columbia,1992,192619,3,20698,,14255,,171921,171921,213317,227572,3,427102
Florida,1992,2072698,,2173310,25,1068384,,100612,-100612,4246008,5314392,25,9506230
Georgia,1992,1008966,13,995252,,316915,,13714,13714,2004218,2321133,13,4766958
Hawaii,1992,179310,4,136822,,56710,,42488,42488,316132,372842,4,795148
Idaho,1992,137013,,202645,4,142456,,65632,-65632,339658,482114,4,734855
Illinois,1992,2453350,22,1734096,,862711,,719254,719254,4187446,5050157,22,8113900
Indiana,1992,848420,,989375,12,468076,,140955,-140955,1837795,2305871,12,4162678
Iowa,1992,586353,7,504891,,263363,,81462,81462,1091244,1354607,7,2057690
Kansas,1992,390434,,449951,6,316871,,59517,-59517,840385,1157256,6,1810750
Kentucky,1992,665104,8,617178,,210618,,47926,47926,1282282,1492900,8,2772600
Louisiana,1992,815971,9,733386,,240660,,82585,82585,1549357,1790017,9,2997301
Maine,1992,263420,4,206504,,209575,,56600,56916,469924,679499,4,915082
Maryland,1992,988571,10,707094,,289381,,281477,281477,1695665,1985046,10,3440015
Massachusetts,1992,1318662,12,805049,,649863,,513613,513613,2123711,2773574,12,4346897
Michigan,1992,1871182,18,1554940,,848551,,316242,316242,3426122,4274673,18,6786593
Minnesota,1992,1020997,10,747841,,579110,,273156,273156,1768838,2347948,10,3187255
Mississippi,1992,400258,,487793,7,93742,,87535,-87535,888051,981793,7,1854797
Missouri,1992,1053873,11,811159,,526238,,242714,242714,1865032,2391270,11,3792675
Montana,1992,154507,3,144207,,111869,,10300,10300,298714,410583,3,593345
Nebraska,1992,217344,,344346,5,177593,,127002,-127002,561690,739283,5,1149525
Nevada,1992,189148,4,175828,,141342,,13320,13320,364976,506318,4,940066
New Hampshire,1992,209040,4,202484,,125691,,6556,6556,411524,537215,4,814160
New Jersey,1992,1436206,15,1356865,,550523,,79341,79341,2793071,3343594,15,5398559
New Mexico,1992,261617,5,212824,,95545,,48793,48793,474441,569986,5,1073421
New York,1992,3444450,33,2346649,,1135826,,1097801,1097801,5791099,6926925,33,12227775
North Carolina,1992,1114042,,1134661,14,363147,,20619,-20619,2248703,2611850,14,5077494
North Dakota,1992,99168,,136244,3,72721,,37076,-37076,235412,308133,3,462631
Ohio,1992,1984942,21,1894310,,1060712,,90632,90632,3879252,4939964,21,8063595
Oklahoma,1992,473066,,592929,8,324364,,119863,-119863,1065995,1390359,8,2293931
Oregon,1992,621314,7,475757,,365572,,145557,145557,1097071,1462643,7,2144867
Pennsylvania,1992,2239164,23,1791841,,928805,,447323,447323,4031005,4959810,23,9010940
Rhode Island,1992,213299,4,131601,,108577,,81698,81698,344900,453477,4,721593
South Carolina,1992,479514,,577507,8,145506,,97993,-97993,1057021,1202527,8,2610725
South Dakota,1992,124888,,136718,3,74648,,11830,-11830,261606,336254,3,503759
Tennessee,1992,933521,11,841300,,207817,,92221,92221,1774821,1982638,11,3726024
Texas,1992,2281815,,2496071,32,1376132,,214256,-214256,4777886,6154018,32,11356487
Utah,1992,183429,,322632,5,237937,,119232,-139203,506061,743998,5,1162363
Vermont,1992,133592,3,88122,,67987,,45470,45470,221714,289701,3,419810
Virginia,1992,1038650,,1150517,13,369498,,111867,-111867,2189167,2558665,13,4622125
Washington,1992,993037,11,731234,,563294,,261803,261803,1724271,2287565,11,3575852
West Virginia,1992,331001,5,241974,,110702,,89027,89027,572975,683677,5,1365368
Wisconsin,1992,1041066,11,930855,,559193,,110211,110211,1971921,2531114,11,3619273
Wyoming,1992,68160,,79347,3,52377,,11187,-11187,147507,199884,3,324253
