State,Year,Democrat Votes,Democrat EC,Republican Votes,Republican EC,Third Party Votes,Third Party EC,Vote Margin (ABS),Vote Margin,Total Votes Minus Third Party,Total Votes,Total EC,Registered Voters
Michigan,2012,2564569,16,2115256,,51136,,449313,449313,4679825,4730961,16,7312725
Minnesota,2012,1546167,10,1320225,,70169,,225942,225942,2866392,2936561,10,3861598
Mississippi,2012,562949,,710746,6,11889,,147797,-147797,1273695,1285584,6,2166825
Missouri,2012,1223796,,1482440,10,51087,,258644,-258644,2706236,2757323,10,4432957
Montana,2012,201839,,267928,3,14281,,66089,-66089,469767,484048,3,774476
Nebraska,2012,302081,,475064,5,17234,,172983,-172983,777145,794379,5,1316915
Nevada,2012,531373,6,463567,,19978,,67806,67806,994940,1014918,6,1800969
New Hampshire,2012,369561,4,329918,,11493,,39643,39643,699479,710972,4,1013420
New Jersey,2012,2125101,14,1477568,,37623,,647533,647533,3602669,3640292,14,5918182
New Mexico,2012,415335,5,335788,,32635,,79547,79547,751123,783758,5,1436363
New York,2012,4485741,29,2490431,,104987,,1995310,1995310,6976172,7081159,29,13324107
North Carolina,2012,2178391,,2270395,15,56586,,92004,-92004,4448786,4505372,15,6947954
North Dakota,2012,124827,,188163,3,9637,,63336,-63336,312990,322627,3,539164
Ohio,2012,2827709,18,2661437,,91701,,166272,166272,5489146,5580847,18,8649495
Oklahoma,2012,443547,,891325,7,0,,447778,-447778,1334872,1334872,7,2713268
Oregon,2012,970488,7,754175,,64607,,216313,216313,1724663,1789270,7,2836101
Pennsylvania,2012,2990274,20,2680434,,82962,,309840,309840,5670708,5753670,20,9651432
Rhode Island,2012,279677,4,157204,,9168,,122473,122473,436881,446049,4,768918
South Carolina,2012,865941,,1071645,9,26532,,205704,-205704,1937586,1964118,9,3486838
South Dakota,2012,145039,,210610,3,8166,,65571,-65571,355649,363815,3,613190
Tennessee,2012,960709,,1462330,11,35538,,501621,-501621,2423039,2458577,11,4736084
Texas,2012,3308124,,4569843,38,115884,,1261719,-1261719,7877967,7993851,38,16119973
Utah,2012,251813,,740600,6,25027,,488787,-488787,992413,1017440,6,1833339
Vermont,2012,199239,3,92698,,7353,,106541,106541,291937,299290,3,493355
Virginia,2012,1971820,13,1822522,,60147,,149298,149298,3794342,3854489,13,5834676
Washington,2012,1755396,12,1290670,,79450,,464726,464726,3046066,3125516,12,4822060
West Virginia,2012,238269,,417655,5,14514,,179386,-179386,655924,670438,5,1447066
Wisconsin,2012,1620985,10,1407966,,39483,,213019,213019,3028951,3068434,10,4209370
Wyoming,2012,69286,,170962,3,8813,,101676,-101676,240248,249061,3,425142
Alabama,2008,813479,,1266546,9,19794,,453067,-453067,2080025,2099819,9,3454510
Alaska,2008,123594,,193841,3,8762,,70247,-70247,317435,326197,3,479429
Arizona,2008,1034707,,1230111,10,28657,,195404,-195404,2264818,2293475,10,4046075
Arkansas,2008,422310,,638017,6,26290,,215707,-215707,1060327,1086617,6,2071563
California,2008,8274473,55,5011781,,275646,,3262692,3262692,13286254,13561900,55,22261504
Colorado,2008,1288633,9,1073629,,39200,,215004,215004,2362262,2401462,9,3382959
Connecticut,2008,997772,7,629428,,19597,,368344,368344,1627200,1646797,7,2471082
Delaware,2008,255459,3,152374,,4579,,103085,103085,407833,412412,3,628200
District of Columbia,2008,245800,3,17367,,2686,,228433,228433,263167,265853,3,432566
Florida,2008,4282074,27,4045624,,63046,,236450,236450,8327698,8390744,27,12687407
Georgia,2008,1844123,,2048759,15,31604,,204636,-204636,3892882,3924486,15,6281872
Hawaii,2008,325871,4,120566,,7131,,205305,205305,446437,453568,4,930067
Idaho,2008,236440,,403012,4,15670,,166572,-166572,639452,655122,4,1029416
Illinois,2008,3419348,21,2031179,,71844,,1388169,1388169,5450527,5522371,21,8681138
Indiana,2008,1374039,11,1345648,,31367,,28391,28391,2719687,2751054,11,4653019
Iowa,2008,828940,7,682379,,25804,,146561,146561,1511319,1537123,7,2216094
Kansas,2008,514765,,699655,6,21452,,184890,-184890,1214420,1235872,6,1991759
Kentucky,2008,751985,,1048462,8,26173,,296477,-296477,1800447,1826620,8,3152629
Louisiana,2008,782989,,1148275,9,29497,,365286,-365286,1931264,1960761,9,3205794
Maine,2008,421923,4,295273,,13967,,126650,126650,717196,731163,4,1036242
Maryland,2008,1629467,10,959862,,42267,,669605,669605,2589329,2631596,10,3925117
Massachusetts,2008,1904097,12,1108854,,68034,,795243,795243,3012951,3080985,12,4612550
Michigan,2008,2872579,17,2048639,,80548,,823940,823940,4921218,5001766,17,7229512
Minnesota,2008,1573354,10,1275409,,61606,,297945,297945,2848763,2910369,10,3740142
Mississippi,2008,554662,,724597,6,10606,,169935,-169935,1279259,1289865,6,2113347
Missouri,2008,1441911,,1445814,11,37480,,3903,-3903,2887725,2925205,11,4327572
Montana,2008,231667,,242763,3,15872,,11096,-11096,474430,490302,3,741853
Nebraska,2008,333319,1,452979,4,14983,,119660,-119660,786298,801281,5,1274719
Nevada,2008,533736,5,412827,,21285,,120909,120909,946563,967848,5,1696831
New Hampshire,2008,384826,4,316534,,9610,,68292,68292,701360,710970,4,992226
New Jersey,2008,2215422,15,1613207,,39608,,602215,602215,3828629,3868237,15,5776527
New Mexico,2008,472422,5,346832,,10904,,125590,125590,819254,830158,5,1362629
New York,2008,4804945,31,2752771,,83215,,2052174,2052174,7557716,7640931,31,12948969
North Carolina,2008,2142651,15,2128474,,39664,,14177,14177,4271125,4310789,15,6584302
North Dakota,2008,141278,,168601,3,6742,,27323,-27323,309879,316621,3,504762
Ohio,2008,2940044,20,2677820,,90486,,262224,262224,5617864,5708350,20,8513079
Oklahoma,2008,502496,,960165,7,0,,457669,-457669,1462661,1462661,7,2619121
Oregon,2008,1037291,7,738475,,52098,,298816,298816,1775766,1827864,7,2700327
Pennsylvania,2008,3276363,21,2655885,,81024,,620478,620478,5932248,6013272,21,9457942
Rhode Island,2008,296571,4,165391,,9804,,131180,131180,461962,471766,4,763608
South Carolina,2008,862449,,1034896,8,23624,,172447,-172447,1897345,1920969,8,3311044
South Dakota,2008,170924,,203054,3,7997,,32130,-32130,373978,381975,3,590720
Tennessee,2008,1087437,,1479178,11,33134,,391741,-391741,2566615,2599749,11,4563192
Texas,2008,3528633,,4479328,34,69834,,950695,-950695,8007961,8077795,34,14929810
Utah,2008,327670,,596030,5,28670,,268360,-268360,923700,952370,5,1700286
Vermont,2008,219262,3,98974,,6810,,120288,120288,318236,325046,3,482677
Virginia,2008,1959532,13,1725005,,38723,,234527,234527,3684537,3723260,13,5555415
Washington,2008,1750848,11,1229216,,56814,,521632,521632,2980064,3036878,11,4561163
West Virginia,2008,303857,,397466,5,12128,,93609,-93609,701323,713451,5,1430439
Wisconsin,2008,1677211,10,1262393,,43813,,414818,414818,2939604,2983417,10,4120694
Wyoming,2008,82868,,164958,3,6832,,82090,-82090,247826,254658,3,405732
Alabama,2004,693933,,1176394,9,13122,,482461,-482461,1870327,1883449,9,3292608
Alaska,2004,111025,,190889,3,10684,,79864,-79864,301914,312598,3,452124
Arizona,2004,893524,,1104294,10,14767,,210770,-210770,1997818,2012585,10,3717055
Arkansas,2004,469953,,572898,6,12094,,102945,-102945,1042851,1054945,6,1969208
