State,Year, Democrat Votes ,Democrat EC, Republican Votes ,Republican EC, Third Party Votes ,Third Party EC, Vote Margin (ABS) , Vote Margin ,Vote Margin % (ABS),Vote Margin %, Total Votes Minus Third Party , Total Votes ,Total EC, Registered Voters , Voting Aged Population , State Population , Electoral Power Group , State Population Over EC ,Turn Out,Rural Population,Small Town Population,Suburb Population,Urban Population,White,Black,Hispanic,Asian,Two or More Races/Other,No High School,High School,Bachelors Degree,Advanced Degree,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,Adults 65+,Below Poverty (< 100%),Above Poverty (100 - 199%),Above Poverty (200-399%),Abover Poverty (400%+),Male,Female
Massachusetts,2016,"1,995,196",11,"1,090,893",,"238,957",,"904,303","904,303",0.29,0.29,"3,086,089","3,325,046",11,"4,948,028","5,442,458","6,892,503",2,"626,591.18",0.67,0.06,0.32,0.35,0.27,0.73,0.07,0.11,0.06,0.03,0.097,0.482,0.234,0.187,0.25,0.1,0.11,0.26,0.13,0.15,0.14,0.18,0.34,0.34,0.49,0.51
Michigan,2016,"2,268,839",,"2,279,543",16,"250,902",,"10,704","-10,704",0,0,"4,548,382","4,799,284",16,"7,420,628","7,744,567","9,986,857",2,"624,178.56",0.65,0.3,0.23,0.28,0.19,0.76,0.13,0.05,0.03,0.03,0.098,0.621,0.171,0.11,0.24,0.09,0.12,0.25,0.14,0.16,0.11,0.16,0.33,0.4,0.49,0.51
Tennessee,2016,"870,695",,"1,522,925",11,"114,407",,"652,230","-652,230",0.27,-0.27,"2,393,620","2,508,027",11,"4,909,426","5,164,969","6,829,174",2,"620,834.00",0.51,0.41,0.31,0.28,0,0.74,0.16,0.06,0.02,0.02,0.135,0.604,0.165,0.096,0.26,0.1,0.12,0.24,0.13,0.15,0.12,0.18,0.33,0.37,0.5,0.5
Missouri,2016,"1,071,068",,"1,594,511",10,"143,026",,"523,443","-523,443",0.2,-0.2,"2,665,579","2,808,605",10,"4,517,925","4,710,784","6,137,428",2,"613,742.80",0.62,0.41,0.19,0.31,0.09,0.8,0.12,0.04,0.02,0.02,0.108,0.61,0.175,0.107,0.24,0.1,0.11,0.26,0.14,0.15,0.19,0.19,0.31,0.31,0.49,0.51
Indiana,2016,"1,033,126",,"1,557,286",11,"144,546",,"524,160","-524,160",0.2,-0.2,"2,590,412","2,734,958",11,"4,849,937","5,063,393","6,732,219",3,"612,019.91",0.56,0.37,0.27,0.33,0.03,0.8,0.09,0.07,0.02,0.02,0.117,0.63,0.161,0.092,0.25,0.1,0.13,0.25,0.13,0.14,0.2,0.19,0.29,0.32,0.48,0.52
Maryland,2016,"1,677,928",10,"943,169",,"160,349",,"734,759","734,759",0.28,0.28,"2,621,097","2,781,446",10,"4,189,616","4,670,900","6,045,680",3,"604,568.00",0.66,0.13,0.22,0.29,0.36,0.51,0.3,0.1,0.06,0.03,0.102,0.508,0.21,0.18,0.2,0.08,0.11,0.26,0.16,0.19,0.13,0.17,0.32,0.38,0.49,0.51
Oregon,2016,"1,002,106",7,"782,403",,"216,827",,"219,703","219,703",0.12,0.12,"1,784,509","2,001,336",7,"3,024,174","3,244,277","4,217,737",3,"602,533.86",0.66,0.29,0.21,0.24,0.26,0.76,0.02,0.13,0.04,0.05,0.098,0.579,0.201,0.122,0.24,0.09,0.12,0.27,0.13,0.15,0.09,0.12,0.26,0.53,0.48,0.52
Wisconsin,2016,"1,382,536",,"1,405,284",10,"188,330",,"22,748","-22,748",0.01,-0.01,"2,787,820","2,976,150",10,"4,285,071","4,495,783","5,822,434",3,"582,243.40",0.69,0.41,0.27,0.19,0.13,0.82,0.06,0.07,0.02,0.03,0.083,0.627,0.191,0.099,0.22,0.09,0.13,0.26,0.14,0.16,0.11,0.12,0.24,0.53,0.49,0.51
Louisiana,2016,"780,154",,"1,178,638",8,"70,240",,"398,484","-398,484",0.2,-0.2,"1,958,792","2,029,032",8,"3,384,435","3,571,652","4,648,794",3,"581,099.25",0.6,0.41,0.3,0.2,0.09,0.59,0.31,0.05,0.02,0.03,0.157,0.609,0.153,0.081,0.23,0.09,0.11,0.27,0.14,0.16,0.15,0.17,0.31,0.37,0.49,0.51
South Carolina,2016,"855,373",,"1,155,389",9,"92,265",,"300,016","-300,016",0.15,-0.15,"2,010,762","2,103,027",9,"3,709,283","3,883,145","5,148,714",3,"572,079.33",0.57,0.4,0.41,0.19,0,0.64,0.27,0.05,0.02,0.02,0.135,0.595,0.172,0.098,0.25,0.08,0.12,0.26,0.14,0.15,0.1,0.14,0.3,0.46,0.5,0.5
